study_accession sample_accession    experiment_accession
PRJEB3060	SAMEA2203419	ERX399760
PRJEB3060	SAMEA2203420	ERX399761
PRJEB3060	SAMEA2203421	ERX399762
PRJEB3060	SAMEA2203422	ERX399763
PRJEB3060	SAMEA2203423	ERX399764
PRJEB3060	SAMEA2203424	ERX399765
PRJEB3060	SAMEA2203425	ERX399766
PRJEB3060	SAMEA2203426	ERX399767
PRJEB3060	SAMEA2203427	ERX399768
PRJEB3060	SAMEA2203428	ERX399769
PRJEB3060	SAMEA2203429	ERX399770
PRJEB3060	SAMEA2203431	ERX399772
PRJEB3060	SAMEA2203433	ERX399774
PRJEB3060	SAMEA2203434	ERX399775
PRJEB3060	SAMEA2437603	ERX529100
PRJEB3060	SAMEA2437604	ERX529101
PRJEB3060	SAMEA2437605	ERX529102
PRJEB3060	SAMEA2437606	ERX529103
PRJEB3060	SAMEA2437607	ERX529104
PRJEB3060	SAMEA2437608	ERX529105
PRJEB3060	SAMEA2437609	ERX529106
PRJEB3060	SAMEA2437610	ERX529107
PRJEB3060	SAMEA2437611	ERX529108
PRJEB3060	SAMEA2437612	ERX529109
PRJEB3060	SAMEA2437613	ERX529110
PRJEB3060	SAMEA2437614	ERX529111
PRJEB3060	SAMEA2437615	ERX529112
PRJEB3060	SAMEA2437616	ERX529113
PRJEB3060	SAMEA2437617	ERX529114
PRJEB3060	SAMEA2437618	ERX529115
PRJEB3060	SAMEA2437619	ERX529116
PRJEB3060	SAMEA2437620	ERX529117
PRJEB3060	SAMEA2437621	ERX529118
PRJEB3060	SAMEA2437622	ERX529119
PRJEB3060	SAMEA2437623	ERX529120
PRJEB3060	SAMEA2437624	ERX529121
PRJEB3060	SAMEA2437625	ERX529122
PRJEB3060	SAMEA2437626	ERX529123
PRJEB3060	SAMEA2437627	ERX529124
PRJEB3060	SAMEA2437628	ERX529125
PRJEB3060	SAMEA2437629	ERX529126
PRJEB3060	SAMEA2437630	ERX529127
PRJEB3060	SAMEA2437631	ERX529128
PRJEB3060	SAMEA2437632	ERX529129
PRJEB3060	SAMEA2437633	ERX529130
PRJEB3060	SAMEA2437634	ERX529131
PRJEB3060	SAMEA2437635	ERX529132
PRJEB3060	SAMEA2437636	ERX529133
PRJEB3060	SAMEA2437637	ERX529134
PRJEB3060	SAMEA2437638	ERX529135
PRJEB3060	SAMEA2437639	ERX529136
PRJEB3060	SAMEA2437640	ERX529137
PRJEB3060	SAMEA2437641	ERX529138
PRJEB3060	SAMEA2437642	ERX529139
PRJEB3060	SAMEA2437643	ERX529140
PRJEB3060	SAMEA2437644	ERX529141
PRJEB3060	SAMEA2437645	ERX529142
PRJEB3060	SAMEA2437646	ERX529143
PRJEB3060	SAMEA2437647	ERX529144
PRJEB3060	SAMEA2437648	ERX529145
PRJEB3060	SAMEA2437649	ERX529146
PRJEB3060	SAMEA2437650	ERX529147
PRJEB3060	SAMEA2437651	ERX529148
PRJEB3060	SAMEA2437652	ERX529149
PRJEB3060	SAMEA2437653	ERX529150
PRJEB3060	SAMEA2437654	ERX529151
PRJEB3060	SAMEA2437655	ERX529152
PRJEB3060	SAMEA2437656	ERX529153
PRJEB3060	SAMEA2437657	ERX529154
PRJEB3060	SAMEA2437658	ERX529155
PRJEB3060	SAMEA2437659	ERX529156
PRJEB3060	SAMEA2437660	ERX529157
PRJEB3060	SAMEA2437661	ERX529158
PRJEB3060	SAMEA2437662	ERX529159
PRJEB3060	SAMEA2437663	ERX529160
PRJEB3060	SAMEA2437664	ERX529161
PRJEB3060	SAMEA2437665	ERX529162
PRJEB3060	SAMEA2437666	ERX529163
PRJEB3060	SAMEA2437667	ERX529164
PRJEB3060	SAMEA2437668	ERX529165
PRJEB3060	SAMEA2437669	ERX529166
PRJEB3060	SAMEA2437670	ERX529167
PRJEB3060	SAMEA2437671	ERX529168
PRJEB3060	SAMEA2437672	ERX529169
PRJEB3060	SAMEA2437673	ERX529170
PRJEB3060	SAMEA2437674	ERX529171
PRJEB3060	SAMEA2437675	ERX529172
PRJEB3060	SAMEA2437676	ERX529173
PRJEB3060	SAMEA2437677	ERX529174
PRJEB3060	SAMEA2437678	ERX529175
PRJEB3060	SAMEA2437679	ERX529176
PRJEB3060	SAMEA2437680	ERX529177
PRJEB3060	SAMEA2437681	ERX529178
PRJEB3060	SAMEA2437682	ERX529179
PRJEB3060	SAMEA2437683	ERX529180
PRJEB3060	SAMEA2437684	ERX529181
PRJEB3060	SAMEA2437685	ERX529182
PRJEB3060	SAMEA2437686	ERX529183
PRJEB3060	SAMEA2437687	ERX529184
PRJEB3060	SAMEA2437688	ERX529185
PRJEB3060	SAMEA2437689	ERX529186
PRJEB3060	SAMEA2437690	ERX529187
PRJEB3060	SAMEA2437691	ERX529188
PRJEB3060	SAMEA2437692	ERX529189
PRJEB3060	SAMEA2437693	ERX529190
PRJEB3060	SAMEA2437694	ERX529191
PRJEB3060	SAMEA2437695	ERX529192
PRJEB3060	SAMEA2437696	ERX529193
PRJEB3060	SAMEA2437697	ERX529194
PRJEB3060	SAMEA2437698	ERX529195
PRJEB3060	SAMEA2437699	ERX529196
PRJEB3060	SAMEA2437700	ERX529197
PRJEB3060	SAMEA2437701	ERX529198
PRJEB3060	SAMEA2437702	ERX529199
PRJEB3060	SAMEA2437703	ERX529200
PRJEB3060	SAMEA2437704	ERX529201
PRJEB3060	SAMEA2437705	ERX529202
PRJEB3060	SAMEA2437706	ERX529203
PRJEB3060	SAMEA2437707	ERX529204
PRJEB3060	SAMEA2437708	ERX529205
PRJEB3060	SAMEA2437709	ERX529206
PRJEB3060	SAMEA2437710	ERX529207
PRJEB3060	SAMEA2437711	ERX529208
PRJEB3060	SAMEA2437712	ERX529209
PRJEB3060	SAMEA2437713	ERX529210
PRJEB3060	SAMEA2437714	ERX529211
PRJEB3060	SAMEA2437715	ERX529212
PRJEB3060	SAMEA2437716	ERX529213
PRJEB3060	SAMEA2437717	ERX529214
PRJEB3060	SAMEA2437718	ERX529215
PRJEB3060	SAMEA2437719	ERX529216
PRJEB3060	SAMEA2437720	ERX529217
PRJEB3060	SAMEA2437721	ERX529218
PRJEB3060	SAMEA2437722	ERX529219
PRJEB3060	SAMEA2437723	ERX529220
PRJEB3060	SAMEA2437724	ERX529221
PRJEB3060	SAMEA2437725	ERX529222
PRJEB3060	SAMEA2437726	ERX529223
PRJEB3060	SAMEA2437727	ERX529224
PRJEB3060	SAMEA2437728	ERX529225
PRJEB3060	SAMEA2437729	ERX529226
PRJEB3060	SAMEA2437730	ERX529227
PRJEB3060	SAMEA2437731	ERX529228
PRJEB3060	SAMEA2437732	ERX529229
PRJEB3060	SAMEA2437733	ERX529230
PRJEB3060	SAMEA2437734	ERX529231
PRJEB3060	SAMEA2437735	ERX529232
PRJEB3060	SAMEA2437736	ERX529233
PRJEB3060	SAMEA2437737	ERX529234
PRJEB3060	SAMEA2437738	ERX529235
PRJEB3060	SAMEA2437739	ERX529236
PRJEB3060	SAMEA2437740	ERX529237
